"code_group","code","description"
"Client Specialist Skill (Skill)","E020","Planning & Scheduling"
"Client Specialist Skill (Skill)","E021","Product Development"
"Client Specialist Skill (Skill)","E022","Risk Analysis"
"Client Specialist Skill (Skill)","E023","Robotics"
"Client Specialist Skill (Skill)","E024","Shift Management"
"Client Specialist Skill (Skill)","E025","Systems"
"Client Specialist Skill (Skill)","E026","Technician (Engineering & Manufacturing)"
"Client Specialist Skill (Skill)","E027","Testing Measurement"
"Client Specialist Skill (Skill)","E028","Thermic"
"Client Specialist Skill (Skill)","E029","Trade (Plumbers, Carpenters)"
"Client Specialist Skill (Skill)","E030","Water Management / Treatment"
"Client Specialist Skill (Skill)","E031","Welding"
"Client Specialist Skill (Skill)","G001","Seismic Interpretation"
"Client Specialist Skill (Skill)","G002","Cementing"
"Client Specialist Skill (Skill)","G003","Coiled Tubing"
"Client Specialist Skill (Skill)","G004","Completion"
"Client Specialist Skill (Skill)","G005","Coring"
"Client Specialist Skill (Skill)","G006","Corrosion"
"Client Specialist Skill (Skill)","G007","Diving / Remotely Operated Vehicles (ROV)"
"Client Specialist Skill (Skill)","G008","Equipment"
"Client Specialist Skill (Skill)","G009","Exploration Data Management"
"Client Specialist Skill (Skill)","G010","Facilities (Oil & Gas)"
"Client Specialist Skill (Skill)","G011","Fire Fighting"
"Client Specialist Skill (Skill)","G012","Fishing Tools"
"Client Specialist Skill (Skill)","G013","Fluids"
"Client Specialist Skill (Skill)","G014","Gas Turbine"
"Client Specialist Skill (Skill)","G015","Geophysics"
"Client Specialist Skill (Skill)","G016","Inspection"
"Client Specialist Skill (Skill)","G017","Installation"
"Client Specialist Skill (Skill)","G018","Lift Engineering"
"Client Specialist Skill (Skill)","G019","Liquified Natural Gas (LNG)"
"Client Specialist Skill (Skill)","G020","Measurement Well Drilling (MWD)"
"Client Specialist Skill (Skill)","G021","Mud Logging"
"Client Specialist Skill (Skill)","G022","Naval"
"Client Specialist Skill (Skill)","G023","Operations Geology"
"Client Specialist Skill (Skill)","G024","Petrophysics"
"Client Specialist Skill (Skill)","G025","Pig"
"Client Specialist Skill (Skill)","G026","Pipeline Engineering"
"Client Specialist Skill (Skill)","G027","Pumping"
"Client Specialist Skill (Skill)","G028","Refinery Operations"
"Client Specialist Skill (Skill)","G029","Reservoir Engineering"
"Client Specialist Skill (Skill)","G030","Stimulation"
"Client Specialist Skill (Skill)","G031","Survey"
"Client Specialist Skill (Skill)","G032","Terminal Operations"
"Client Specialist Skill (Skill)","G033","Waste Management"
"Client Specialist Skill (Skill)","G034","Well Engineering"
"Client Specialist Skill (Skill)","G035","Wireline"
"Client Specialist Skill (Skill)","G036","Workover"
"Candidate Specialist Skill (Skill)","P001","Ambient Food (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P002","Capex"
"Candidate Specialist Skill (Skill)","P003","Chilled Food (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P004","Co-Managed Inventory"
"Candidate Specialist Skill (Skill)","P005","Commissioning (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P006","Custom (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P007","Downstream Logistics"
"Candidate Specialist Skill (Skill)","P008","Electrical Components"
"Candidate Specialist Skill (Skill)","P009","E-Sourcing (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P010","Facilities Procurement"
"Candidate Specialist Skill (Skill)","P011","Frozen Food (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P012","Imports (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P013","IT / Telco Hardware"
"Candidate Specialist Skill (Skill)","P014","IT / Telco Networks"
"Candidate Specialist Skill (Skill)","P015","IT / Telco Software"
"Candidate Specialist Skill (Skill)","P016","Juinor Procurement"
"Candidate Specialist Skill (Skill)","P017","Logistics / Third Party Logistics (3PL)"
"Candidate Specialist Skill (Skill)","P018","Low Cost Country Sourcing"
"Candidate Specialist Skill (Skill)","P019","Maintenance Repair & Operating"
"Candidate Specialist Skill (Skill)","P020","Marketing Procurement"
"Candidate Specialist Skill (Skill)","P021","Mechanical Components"
"Candidate Specialist Skill (Skill)","P022","Metals (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P023","Offshoring (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P024","OJEU - Official Journal of the European Union"
"Candidate Specialist Skill (Skill)","P025","Outsourcing (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P026","Packaging (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P027","Paper (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P028","Pet Food (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P029","Plastics (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P030","Professional Services (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P031","Purchase-to-pay"
"Candidate Specialist Skill (Skill)","P032","Quality Supplier"
"Candidate Specialist Skill (Skill)","P033","Reverse Logistics"
"Candidate Specialist Skill (Skill)","P034","Shipping & Distribution"
"Candidate Specialist Skill (Skill)","P035","Sub-Contract"
"Candidate Specialist Skill (Skill)","P036","Supplier / Contracts Management"
"Candidate Specialist Skill (Skill)","P037","Tenders (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","P038","Travel Procurements"
"Candidate Specialist Skill (Skill)","P039","Upstream Logistics"
"Candidate Specialist Skill (Skill)","P040","Utilities (Procurement & Supply Chain)"
"Candidate Specialist Skill (Skill)","E001","Automation"
"Candidate Specialist Skill (Skill)","E002","Automotive Other"
"Candidate Specialist Skill (Skill)","E003","Automotive Chassis"
"Candidate Specialist Skill (Skill)","E004","Automotive Engine"
"Candidate Specialist Skill (Skill)","E005","Automotive Exterior Trim"
"Candidate Specialist Skill (Skill)","E006","Automotive Interior Trim"
"Candidate Specialist Skill (Skill)","E007","Automotive Power Train / Transmission"
"Candidate Specialist Skill (Skill)","E008","CAE / Simulation ( Computer-Aided Engineering)"
"Candidate Specialist Skill (Skill)","E009","Chemicals"
"Candidate Specialist Skill (Skill)","E010","Engineer"
"Candidate Specialist Skill (Skill)","E011","Electircal - Insturmentation & Control"
"Candidate Specialist Skill (Skill)","E012","Electrical - Power"
"Candidate Specialist Skill (Skill)","E013","Electricity"
"Candidate Specialist Skill (Skill)","E014","Electronics"
"Candidate Specialist Skill (Skill)","E015","Hydraulics"
"Candidate Specialist Skill (Skill)","E016","Installation / Commissioning"
"Candidate Specialist Skill (Skill)","E018","Materials"
"Candidate Specialist Skill (Skill)","E019","Mechanics"
"Candidate Specialist Skill (Skill)","E020","Planning & Scheduling"
"Candidate Specialist Skill (Skill)","E021","Product Development"
"Candidate Specialist Skill (Skill)","E022","Risk Analysis"
"Candidate Specialist Skill (Skill)","E023","Robotics"
"Candidate Specialist Skill (Skill)","E024","Shift Management"
"Candidate Specialist Skill (Skill)","E025","Systems"
"Candidate Specialist Skill (Skill)","E026","Technician (Engineering & Manufacturing)"
"Candidate Specialist Skill (Skill)","E027","Testing Measurement"
"Candidate Specialist Skill (Skill)","E028","Thermic"
"Candidate Specialist Skill (Skill)","E029","Trade (Plumbers, Carpenters)"
"Candidate Specialist Skill (Skill)","E030","Water Management / Treatment"
"Candidate Specialist Skill (Skill)","E031","Welding"
"Candidate Specialist Skill (Skill)","G001","Seismic Interpretation"
"Candidate Specialist Skill (Skill)","G002","Cementing"
"Candidate Specialist Skill (Skill)","G003","Coiled Tubing"
"Candidate Specialist Skill (Skill)","G004","Completion"
"Candidate Specialist Skill (Skill)","G005","Coring"
"Candidate Specialist Skill (Skill)","G006","Corrosion"
"Candidate Specialist Skill (Skill)","G007","Diving / Remotely Operated Vehicles (ROV)"
"Candidate Specialist Skill (Skill)","G008","Equipment"
"Candidate Specialist Skill (Skill)","G009","Exploration Data Management"
"Candidate Specialist Skill (Skill)","G010","Facilities (Oil & Gas)"
"Candidate Specialist Skill (Skill)","G011","Fire Fighting"
"Candidate Specialist Skill (Skill)","G012","Fishing Tools"
"Candidate Specialist Skill (Skill)","G013","Fluids"
"Candidate Specialist Skill (Skill)","G014","Gas Turbine"
"Candidate Specialist Skill (Skill)","G015","Geophysics"
"Candidate Specialist Skill (Skill)","G016","Inspection"
"Candidate Specialist Skill (Skill)","G017","Installation"
"Candidate Specialist Skill (Skill)","G018","Lift Engineering"
"Candidate Specialist Skill (Skill)","G019","Liquified Natural Gas (LNG)"
"Candidate Specialist Skill (Skill)","G020","Measurement Well Drilling (MWD)"
"Candidate Specialist Skill (Skill)","G021","Mud Logging"
"Candidate Specialist Skill (Skill)","G022","Naval"
"Candidate Specialist Skill (Skill)","G023","Operations Geology"
"Candidate Specialist Skill (Skill)","G024","Petrophysics"
"Candidate Specialist Skill (Skill)","G025","Pig"
"Candidate Specialist Skill (Skill)","G026","Pipeline Engineering"
"Candidate Specialist Skill (Skill)","G027","Pumping"
"Candidate Specialist Skill (Skill)","G028","Refinery Operations"
"Candidate Specialist Skill (Skill)","G029","Reservoir Engineering"
"Candidate Specialist Skill (Skill)","G030","Stimulation"
"Candidate Specialist Skill (Skill)","G031","Survey"
"Candidate Specialist Skill (Skill)","G032","Terminal Operations"
"Candidate Specialist Skill (Skill)","G033","Waste Management"
"Candidate Specialist Skill (Skill)","G034","Well Engineering"
"Candidate Specialist Skill (Skill)","G035","Wireline"
"Candidate Specialist Skill (Skill)","G036","Workover"
"Candidate Job Group (Skill)","FPA","Financial Planning & Analysis / Budgets / Forecasts"
"Candidate Job Group (Skill)","ZC","Compliance"
"Candidate Job Group (Skill)","ZY","Structured Finance"
"Candidate Job Group (Skill)","ZV","Operations / Back Office / Settlements / Corpoate Actions"
"Candidate Job Group (Skill)","ZU","Operations / Trade Support / Middle Office"
"Candidate Job Group (Skill)","TAX","Tax"
"Candidate Job Group (Skill)","PPTX","PP-Tax/Trusts"
"Candidate Job Group (Skill)","TR","Treasury"
"Candidate Job Group (Skill)","MC","Management Consulting"
"Candidate Job Group (Skill)","ZAP","Personal Assistant"
"Candidate Job Group (Skill)","ACT","Actuary"
"Candidate Job Group (Skill)","UW","Underwriter"
"Candidate Job Group (Skill)","FND","NP - Development"
"Candidate Job Group (Skill)","PPP","PP - Partner"
"Candidate Job Group (Skill)","ZPM","Performance Msrmnt"
"Client Job Group (Skill)","FPA","Financial Planning & Analysis / Budgets / Forecasts"
"Client Job Group (Skill)","ZC","Compliance"
"Client Job Group (Skill)","ZY","Structured Finance"
"Client Job Group (Skill)","ZV","Operations / Back Office / Settlements / Corpoate Actions"
"Client Job Group (Skill)","ZU","Operations / Trade Support / Middle Office"
"Client Job Group (Skill)","TAX","Tax"
"Client Job Group (Skill)","PPTX","PP-Tax/Trusts"
"Client Job Group (Skill)","TR","Treasury"
"Client Job Group (Skill)","MC","Management Consulting"
"Client Job Group (Skill)","ZAP","Personal Assistant"
"Client Job Group (Skill)","ACT","Actuary"
"Client Job Group (Skill)","UW","Underwriter"
"Client Job Group (Skill)","FND","NP - Development"
"Client Job Group (Skill)","PPP","PP - Partner"
"Client Job Group (Skill)","ZPM","Performance Msrmnt"
"Client Specialist Skill (Skill)","FP","Acctng Policy/FASB/GAAP"
"Client Specialist Skill (Skill)","FNG","NP-Grant Acct"
"Client Specialist Skill (Skill)","MR","Market Risk"
"Client Specialist Skill (Skill)","OR","Operational Risk"
"Client Specialist Skill (Skill)","ZFC","Extrnl Fin&Reg Reporting"
"Candidate Specialist Skill (Skill)","FP","Acctng Policy/FASB/GAAP"
"Candidate Specialist Skill (Skill)","FNG","NP-Grant Acct"
"Candidate Specialist Skill (Skill)","MR","Market Risk"
"Candidate Specialist Skill (Skill)","OR","Operational Risk"
"Candidate Specialist Skill (Skill)","ZFC","Extrnl Fin&Reg Reporting"
"Candidate Job Group (Skill)","CR","Campus Recruiter"
"Candidate Job Group (Skill)","HH","HR HRIS"
"Candidate Job Group (Skill)","HC","HR Consultancy"
"Client Job Group (Skill)","CR","Campus Recruiter"
"Client Job Group (Skill)","HH","HR HRIS"
"Client Job Group (Skill)","HC","HR Consultancy"
"Candidate Job Group (Skill)","SFS","Field Sales"
"Client Job Group (Skill)","SFS","Field Sales"
"Candidate Job Group (Skill)","LAG","In-House AGC"
"Client Job Group (Skill)","LAG","In-House AGC"
"Candidate Specialist Skill (Skill)","IBIA","Business Objects"
"Candidate Specialist Skill (Skill)","IBIB","Cognos"
"Candidate Specialist Skill (Skill)","IBIC","Crystal Reports"
"Candidate Specialist Skill (Skill)","IBID","HYPERION"
"Candidate Specialist Skill (Skill)","IBIE","Microsoft Access"
"Candidate Specialist Skill (Skill)","IBIF","MicroStrategy"
"Candidate Specialist Skill (Skill)","IBIH","Oracle Reports"
"Candidate Specialist Skill (Skill)","IBII","SAP BW - (Bus.Intelligence)"
"Candidate Specialist Skill (Skill)","IBIJ","SAS"
"Candidate Specialist Skill (Skill)","IBIK","SQL Transact"
"Candidate Specialist Skill (Skill)","ICDI","Catia"
"Candidate Specialist Skill (Skill)","ICDP","Photoshop"
"Candidate Specialist Skill (Skill)","ICDR","Flash"
"Candidate Specialist Skill (Skill)","ICRA","PeopleSoft - CRM"
"Candidate Specialist Skill (Skill)","ICRB","SAP CRM"
"Candidate Specialist Skill (Skill)","ICRC","Siebel"
"Candidate Specialist Skill (Skill)","IDBA","Access"
"Candidate Specialist Skill (Skill)","IDBB","Oracle Applications"
"Candidate Specialist Skill (Skill)","IDBC","Oracle Databases"
"Candidate Specialist Skill (Skill)","IDBD","SQL Server"
"Candidate Specialist Skill (Skill)","IDBE","DB2"
"Candidate Specialist Skill (Skill)","IDBF","Informix"
"Candidate Specialist Skill (Skill)","IDBI","Sybase"
"Candidate Specialist Skill (Skill)","IDV1","XML"
"Candidate Specialist Skill (Skill)","IDVA","Windev"
"Candidate Specialist Skill (Skill)","IDVB","Generation GAP"
"Candidate Specialist Skill (Skill)","IDVC","EDM"
"Candidate Specialist Skill (Skill)","IDVD","Java/JSP/J2EE"
"Candidate Specialist Skill (Skill)","IDVE","Javascript"
"Candidate Specialist Skill (Skill)","IDVF","Opensource"
"Candidate Specialist Skill (Skill)","IDVG","Microsoft"
"Candidate Specialist Skill (Skill)","IDVH","JD Edwards"
"Candidate Specialist Skill (Skill)","IDVI","C"
"Candidate Specialist Skill (Skill)","IDVJ","C#"
"Candidate Specialist Skill (Skill)","IDVK","C++"
"Candidate Specialist Skill (Skill)","IDVL","HTML"
"Candidate Specialist Skill (Skill)","IDVM",".Net"
"Candidate Specialist Skill (Skill)","IDVN","Visual Basic (VBA)"
"Candidate Specialist Skill (Skill)","IDVO","UML"
"Candidate Specialist Skill (Skill)","IDVQ","ASP"
"Candidate Specialist Skill (Skill)","IDVR","Oracle Forms"
"Candidate Specialist Skill (Skill)","IDVS","PL/SQL"
"Candidate Specialist Skill (Skill)","IDVT","SAP ABAP"
"Candidate Specialist Skill (Skill)","IDVU","ColdFusion"
"Candidate Specialist Skill (Skill)","IDVX","PHP/Pearl"
"Candidate Specialist Skill (Skill)","IERG","SAP R3"
"Candidate Specialist Skill (Skill)","IERH","SAP R4"
"Candidate Specialist Skill (Skill)","IERK","PeopleSoft - ERP"
"Candidate Specialist Skill (Skill)","IERL","JDEdwards"
"Candidate Specialist Skill (Skill)","IERO","Microsoft Dynamics NAV/Navision"
"Candidate Specialist Skill (Skill)","IERQ","Oracle"
"Candidate Specialist Skill (Skill)","INTB","Active Directory"
"Candidate Specialist Skill (Skill)","INTC","Cisco"
"Candidate Specialist Skill (Skill)","INTD","Citrix"
"Candidate Specialist Skill (Skill)","INTH","Storage Area Network (SAN)"
"Candidate Specialist Skill (Skill)","INTJ","VPN"
"Candidate Specialist Skill (Skill)","INTK","Wireless Area Network (WAN)"
"Candidate Specialist Skill (Skill)","IPMA","SRM"
"Candidate Specialist Skill (Skill)","IPMB","SAP - Manufacturing"
"Candidate Specialist Skill (Skill)","IPMC","SAP MM-Materials Management"
"Candidate Specialist Skill (Skill)","IPMD","SAP APO-Advanced Planning & Optimisation"
"Candidate Specialist Skill (Skill)","IPME","SAP PP-Production Planning"
"Candidate Specialist Skill (Skill)","IPMF","SAP AM-Asset Management"
"Candidate Specialist Skill (Skill)","IPMG","SAP PM-Plant Maintenance"
"Candidate Specialist Skill (Skill)","IPMH","SAP Product Lifecycle Management"
"Candidate Specialist Skill (Skill)","IPMI","SAP PS-Project Systems"
"Candidate Specialist Skill (Skill)","IPMJ","SAP SCM-Supply Chain Management"
"Candidate Specialist Skill (Skill)","IPMK","SAP SD-Sales Distribution"
"Candidate Specialist Skill (Skill)","IPML","SAP SRM-Supplier Relationship Management"
"Candidate Specialist Skill (Skill)","IPMN","Oracle Supply Chain Management"
"Candidate Specialist Skill (Skill)","IPMP","Project Mangement Planning/Institute(PMP/PMI)"
"Candidate Specialist Skill (Skill)","ITSA","Software"
"Candidate Specialist Skill (Skill)","ITSB","User Acceptance Testing(UAT)"
"Candidate Job Group (Skill)","I11","Corporate Governance"
"Candidate Job Group (Skill)","I12","Database Administration"
"Candidate Job Group (Skill)","I13","Development"
"Candidate Job Group (Skill)","I14","Helpdesk / Support"
"Candidate Job Group (Skill)","I15","Infrastructure"
"Candidate Job Group (Skill)","I16","IT Architect"
"Candidate Job Group (Skill)","I17","IT Audit"
"Candidate Job Group (Skill)","I18","IT Director / CTO / CIO"
"Candidate Job Group (Skill)","I19","IT Manager"
"Candidate Job Group (Skill)","I20","IT Training"
"Candidate Job Group (Skill)","I22","Testing / Quality"
"Candidate Job Group (Skill)","I23","Website Management"
"Client Job Group (Skill)","I11","Corporate Governance"
"Client Job Group (Skill)","I12","Database Administration"
"Client Job Group (Skill)","I13","Development"
"Client Job Group (Skill)","I14","Helpdesk / Support"
"Client Job Group (Skill)","I15","Infrastructure"
"Client Job Group (Skill)","I16","IT Architect"
"Client Job Group (Skill)","I17","IT Audit"
"Client Job Group (Skill)","I18","IT Director / CTO / CIO"
"Client Job Group (Skill)","I19","IT Manager"
"Client Job Group (Skill)","I20","IT Training"
"Client Job Group (Skill)","I22","Testing / Quality"
"Client Job Group (Skill)","I23","Website Management"
"Candidate Job Group (Skill)","A13","External Audit/Assurance FS"
"Candidate Job Group (Skill)","A16","Financial Accountant"
"Candidate Job Group (Skill)","A17","Financial Analyst"
"Candidate Job Group (Skill)","A20","Insolvency/Recovery/Bankruptcy"
"Candidate Job Group (Skill)","A24","Plant/Industrial Controller/Cost Accountant"
"Candidate Job Group (Skill)","A26","Accounts Receivable"
"Candidate Job Group (Skill)","B06","Real Estate Acquisitions"
"Candidate Job Group (Skill)","B07","Retail Banking Management"
"Candidate Job Group (Skill)","B08","Retail Banking Financial Advisory/Personal"
"Candidate Job Group (Skill)","B09","Retail Banking Mid-Sized Business Company Advisor"
"Candidate Job Group (Skill)","B11","Retail Banking-Small Business Company Advisor"
"Candidate Job Group (Skill)","B14","Security Officer (FS&B)"
"Candidate Job Group (Skill)","T11","Tax In House"
"Candidate Job Group (Skill)","T12","Treasurer"
"Candidate Job Group (Skill)","H14","Employee and Labor Relations"
"Candidate Job Group (Skill)","H17","HR Business Partner"
"Candidate Job Group (Skill)","O11","Call Center"
"Candidate Job Group (Skill)","O12","Communication Assistant"
"Candidate Job Group (Skill)","O16","Interpreter / Translator"
"Candidate Job Group (Skill)","O18","Logistics Assistant"
"Candidate Job Group (Skill)","O21","Purchasing Assistant"
"Candidate Job Group (Skill)","O23","Sales Support/ Customer Service"
"Candidate Job Group (Skill)","O24","Secretary"
"Candidate Job Group (Skill)","O25","Supply Chain Assistant"
"Candidate Job Group (Skill)","O26","Trading Floor Assistant"
"Candidate Job Group (Skill)","L13","Company/Corporate Secretary"
"Candidate Job Group (Skill)","L17","Law Clerk"
"Candidate Job Group (Skill)","L20","Litigation Support/E-discovery"
"Candidate Job Group (Skill)","L23","Professional Support Lawyer/Attorney"
"Candidate Job Group (Skill)","L24","Scientific Advisor /Patent Agent"
"Candidate Job Group (Skill)","M12","Category Management"
"Candidate Job Group (Skill)","M13","Consumer Insight"
"Candidate Job Group (Skill)","M24","Marketing Research"
"Candidate Job Group (Skill)","M27","Social Marketing"
"Candidate Job Group (Skill)","M29","Web Analytics"
"Candidate Job Group (Skill)","S11","B2B Business Development Manager"
"Candidate Job Group (Skill)","S13","Bid & Tenders"
"Candidate Job Group (Skill)","S14","Export Sales"
"Candidate Job Group (Skill)","S15","Field Sales Engineer"
"Candidate Job Group (Skill)","S16","Group Business Director"
"Candidate Job Group (Skill)","S17","National Accounts"
"Candidate Job Group (Skill)","S18","Pharmaceutical Sales"
"Candidate Job Group (Skill)","S22","Sales Representative"
"Candidate Job Group (Skill)","S23","Sales Support"
"Candidate Job Group (Skill)","S24","Telesales"
"Client Job Group (Skill)","A13","External Audit/Assurance FS"
"Client Job Group (Skill)","A16","Financial Accountant"
"Client Job Group (Skill)","A17","Financial Analyst"
"Client Job Group (Skill)","A20","Insolvency/Recovery/Bankruptcy"
"Client Job Group (Skill)","A24","Plant/Industrial Controller/Cost Accountant"
"Client Job Group (Skill)","A26","Accounts Receivable"
"Client Job Group (Skill)","B06","Real Estate Acquisitions"
"Client Job Group (Skill)","B07","Retail Banking Management"
"Client Job Group (Skill)","B08","Retail Banking Financial Advisory/Personal"
"Client Job Group (Skill)","B09","Retail Banking Mid-Sized Business Company Advisor"
"Client Job Group (Skill)","B11","Retail Banking-Small Business Company Advisor"
"Client Job Group (Skill)","B14","Security Officer (FS&B)"
"Client Job Group (Skill)","T11","Tax In House"
"Client Job Group (Skill)","T12","Treasurer"
"Client Job Group (Skill)","H14","Employee and Labor Relations"
"Client Job Group (Skill)","H17","HR Business Partner"
"Client Job Group (Skill)","O11","Call Center"
"Client Job Group (Skill)","O12","Communication Assistant"
"Client Job Group (Skill)","O16","Interpreter / Translator"
"Client Job Group (Skill)","O18","Logistics Assistant"
"Client Job Group (Skill)","O21","Purchasing Assistant"
"Client Job Group (Skill)","O23","Sales Support/ Customer Service"
"Client Job Group (Skill)","O24","Secretary"
"Client Job Group (Skill)","O25","Supply Chain Assistant"
"Client Job Group (Skill)","O26","Trading Floor Assistant"
"Client Job Group (Skill)","L13","Company/Corporate Secretary"
"Client Job Group (Skill)","L17","Law Clerk"
"Client Job Group (Skill)","L20","Litigation Support/E-discovery"
"Client Job Group (Skill)","L23","Professional Support Lawyer/Attorney"
"Client Job Group (Skill)","L24","Scientific Advisor /Patent Agent"
"Client Job Group (Skill)","M12","Category Management"
"Client Job Group (Skill)","M13","Consumer Insight"
"Client Job Group (Skill)","M24","Marketing Research"
"Client Job Group (Skill)","M27","Social Marketing"
"Client Job Group (Skill)","M29","Web Analytics"
"Client Job Group (Skill)","S11","B2B Business Development Manager"
"Client Job Group (Skill)","S13","Bid & Tenders"
"Client Job Group (Skill)","S14","Export Sales"
"Client Job Group (Skill)","S15","Field Sales Engineer"
"Client Job Group (Skill)","S16","Group Business Director"
"Client Job Group (Skill)","S17","National Accounts"
"Client Job Group (Skill)","S18","Pharmaceutical Sales"
"Client Job Group (Skill)","S22","Sales Representative"
"Client Job Group (Skill)","S23","Sales Support"
"Client Job Group (Skill)","S24","Telesales"
"Candidate Job Group (Skill)","X01","Chairman"
"Candidate Job Group (Skill)","X03","Managing Director (MD) / Country"
"Candidate Job Group (Skill)","X05","Non-Executive Board"
"Candidate Job Group (Skill)","X09","Trustees"
"Candidate Job Group (Skill)","X10","Board Member"
"Client Job Group (Skill)","X01","Chairman"
"Client Job Group (Skill)","X03","Managing Director (MD) / Country"
"Client Job Group (Skill)","X05","Non-Executive Board"
"Client Job Group (Skill)","X09","Trustees"
"Client Job Group (Skill)","X10","Board Member"
"Candidate Language (Skill)","ARA","Arabic"
"Candidate Language (Skill)","BUL","Bulgarian"
"Candidate Language (Skill)","BOS","Bosnian"
"Candidate Language (Skill)","CAN","Cantonese"
"Candidate Language (Skill)","CZE","Czech"
"Candidate Language (Skill)","DAN","Danish"
"Candidate Language (Skill)","GER","German"
"Candidate Language (Skill)","GRE","Greek"
"Candidate Language (Skill)","ENG","English"
"Candidate Language (Skill)","SPA","Spanish"
"Candidate Language (Skill)","EST","Estonian"
"Candidate Language (Skill)","FIN","Finnish"
"Candidate Language (Skill)","FRE","French"
"Candidate Language (Skill)","CRO","Croatian"
"Candidate Language (Skill)","HUN","Hungarian"
"Candidate Language (Skill)","ITA","Italian"
"Candidate Language (Skill)","JAP","Japanese"
"Candidate Language (Skill)","KOR","Korean"
"Candidate Language (Skill)","LAT","Latvian"
"Candidate Language (Skill)","MAN","Mandarin"
"Candidate Language (Skill)","DUT","Dutch"
"Candidate Language (Skill)","NOR","Norwegian"
"Candidate Language (Skill)","POL","Polish"
"Candidate Language (Skill)","POR","Portuguese"
"Candidate Language (Skill)","ROM","Romanian"
"Candidate Language (Skill)","RUS","Russian"
"Candidate Language (Skill)","SLO","Slovenian"
"Candidate Language (Skill)","SER","Serbian"
"Candidate Language (Skill)","SWE","Swedish"
"Candidate Language (Skill)","THA","Thai"
"Candidate Language (Skill)","TUR","Turkish"
"Candidate Language (Skill)","UKR","Ukrainian"
"Candidate Language (Skill)","UZB","Ukbeki"
"Client Language (Skill)","ARA","Arabic"
"Client Language (Skill)","BUL","Bulgarian"
"Client Language (Skill)","BOS","Bosnian"
"Client Language (Skill)","CAN","Cantonese"
"Client Language (Skill)","CZE","Czech"
"Client Language (Skill)","DAN","Danish"
"Client Language (Skill)","GER","German"
"Client Language (Skill)","GRE","Greek"
"Client Language (Skill)","ENG","English"
"Client Language (Skill)","SPA","Spanish"
"Client Language (Skill)","EST","Estonian"
"Client Language (Skill)","FIN","Finnish"
"Client Language (Skill)","FRE","French"
"Client Language (Skill)","CRO","Croatian"
"Client Language (Skill)","HUN","Hungarian"
"Client Language (Skill)","ITA","Italian"
"Client Language (Skill)","JAP","Japanese"
"Client Language (Skill)","KOR","Korean"
"Client Language (Skill)","LAT","Latvian"
"Client Language (Skill)","MAN","Mandarin"
"Client Language (Skill)","DUT","Dutch"
"Client Language (Skill)","NOR","Norwegian"
"Client Language (Skill)","POL","Polish"
"Client Language (Skill)","POR","Portuguese"
"Client Language (Skill)","ROM","Romanian"
"Client Language (Skill)","RUS","Russian"
"Client Language (Skill)","SLO","Slovenian"
"Client Language (Skill)","SER","Serbian"
"Client Language (Skill)","SWE","Swedish"
"Client Language (Skill)","THA","Thai"
"Client Language (Skill)","TUR","Turkish"
"Client Language (Skill)","UKR","Ukrainian"
"Client Language (Skill)","UZB","Ukbeki"
"Client Specialist Skill (Skill)","HHS","Health & Safety CANADA ONLY"
"Candidate Specialist Skill (Skill)","HHS","Health & Safety CANADA ONLY"
"Client Specialist Skill (Skill)","LBS","Blue Sky"
"Client Specialist Skill (Skill)","LCM","Capital Markets"
"Client Specialist Skill (Skill)","LCV","Civil Litigation"
"Client Specialist Skill (Skill)","LCC","Class Actions"
"Client Specialist Skill (Skill)","LCL","Commercial Litigation"
"Client Specialist Skill (Skill)","LCO","Compliance"
"Client Specialist Skill (Skill)","LCA","Contracts"
"Client Specialist Skill (Skill)","LCG","Corporate - General"
"Client Specialist Skill (Skill)","LCT","Corporate Taxation"
"Client Specialist Skill (Skill)","LCS","Credit / Structured Finance"
"Client Specialist Skill (Skill)","LCR","Criminal"
"Client Specialist Skill (Skill)","LDI","Derivatives / ISDA"
"Client Specialist Skill (Skill)","LEM","Employment"
"Client Specialist Skill (Skill)","LEN","Environment"
"Client Specialist Skill (Skill)","LDF","Divorce / Family"
"Client Specialist Skill (Skill)","LFG","FS - General"
"Client Specialist Skill (Skill)","LIM","Immigration"
"Client Specialist Skill (Skill)","LIN","Insurance"
"Client Specialist Skill (Skill)","LFI","Funds / Investment Management"
"Client Specialist Skill (Skill)","LMA","Mergers & Acquisitions"
